transaction_id,store,city,category,units_sold,unit_price,discount,date,revenue,discount_amount,net_revenue,month,day_of_week
10001,Store_D,Houston,Electronics,17,370.12,0.02,2023-05-12,6292.04,125.8408,6166.1992,5,Friday
10002,Store_D,Chicago,Furniture,15,370.12,0.02,2023-01-04,5551.8,111.036,5440.764,1,Wednesday
10003,Store_B,Chicago,Clothing,24,370.12,0.02,2023-03-06,8882.880000000001,177.65760000000003,8705.2224,3,Monday
10004,Store_C,Houston,Groceries,37,370.12,0.02,2023-05-07,13694.44,273.8888,13420.5512,5,Sunday
10005,Store_D,Houston,Electronics,11,370.12,0.02,2023-01-11,4071.32,81.4264,3989.8936000000003,1,Wednesday
10006,Store_D,Los Angeles,Furniture,7,370.12,0.02,2023-06-29,2590.84,51.8168,2539.0232,6,Thursday
10007,Store_B,New York,Clothing,20,370.12,0.02,2023-03-17,7402.4,148.048,7254.352,3,Friday
10008,Store_D,New York,Electronics,26,370.12,0.02,2023-05-14,9623.12,192.46240000000003,9430.6576,5,Sunday
10009,Store_D,Chicago,Electronics,15,370.12,0.02,2023-01-30,5551.8,111.036,5440.764,1,Monday
10010,Store_B,Los Angeles,Furniture,2,370.12,0.02,2023-01-24,740.24,14.8048,725.4352,1,Tuesday
10011,Store_B,Houston,Clothing,15,370.12,0.02,2023-01-04,5551.8,111.036,5440.764,1,Wednesday
10012,Store_A,Chicago,Furniture,40,370.12,0.02,2023-05-13,14804.8,296.096,14508.704,5,Saturday
10013,Store_A,New York,Groceries,37,370.12,0.02,2023-01-17,13694.44,273.8888,13420.5512,1,Tuesday
10014,Store_D,Houston,Clothing,17,370.12,0.02,2023-03-09,6292.04,125.8408,6166.1992,3,Thursday
10015,Store_A,Los Angeles,Groceries,34,370.12,0.02,2023-06-25,12584.08,251.6816,12332.3984,6,Sunday
10016,Store_B,Chicago,Groceries,47,370.12,0.02,2023-03-04,17395.64,347.9128,17047.7272,3,Saturday
10017,Store_A,Chicago,Groceries,3,370.12,0.02,2023-05-15,1110.3600000000001,22.207200000000004,1088.1528,5,Monday
10018,Store_A,Los Angeles,Furniture,18,370.12,0.02,2023-02-25,6662.16,133.2432,6528.9168,2,Saturday
10019,Store_A,Los Angeles,Groceries,24,370.12,0.02,2023-06-26,8882.880000000001,177.65760000000003,8705.2224,6,Monday
10020,Store_C,Los Angeles,Electronics,36,370.12,0.02,2023-02-02,13324.32,266.4864,13057.8336,2,Thursday
10021,Store_B,New York,Electronics,18,370.12,0.02,2023-04-12,6662.16,133.2432,6528.9168,4,Wednesday
10022,Store_A,Los Angeles,Furniture,26,370.12,0.02,2023-01-28,9623.12,192.46240000000003,9430.6576,1,Saturday
10023,Store_B,Los Angeles,Clothing,19,370.12,0.02,2023-05-20,7032.28,140.6456,6891.6344,5,Saturday
10024,Store_A,Los Angeles,Electronics,6,370.12,0.02,2023-04-16,2220.7200000000003,44.41440000000001,2176.3056,4,Sunday
10025,Store_B,Los Angeles,Electronics,22,370.12,0.02,2023-05-21,8142.64,162.8528,7979.787200000001,5,Sunday
10026,Store_D,New York,Furniture,28,370.12,0.02,2023-01-04,10363.36,207.2672,10156.0928,1,Wednesday
10027,Store_D,Chicago,Furniture,21,370.12,0.02,2023-06-12,7772.52,155.4504,7617.069600000001,6,Monday
10028,Store_C,Chicago,Clothing,31,370.12,0.02,2023-04-28,11473.72,229.4744,11244.2456,4,Friday
10029,Store_A,Los Angeles,Clothing,47,370.12,0.02,2023-02-13,17395.64,347.9128,17047.7272,2,Monday
10030,Store_D,Chicago,Groceries,21,370.12,0.02,2023-05-12,7772.52,155.4504,7617.069600000001,5,Friday
10031,Store_B,Chicago,Electronics,4,370.12,0.02,2023-01-23,1480.48,29.6096,1450.8704,1,Monday
10032,Store_D,Los Angeles,Clothing,42,370.12,0.02,2023-06-02,15545.04,310.9008,15234.139200000001,6,Friday
10033,Store_D,Los Angeles,Groceries,2,370.12,0.02,2023-05-05,740.24,14.8048,725.4352,5,Friday
10034,Store_C,New York,Electronics,43,370.12,0.02,2023-01-21,15915.16,318.3032,15596.8568,1,Saturday
10035,Store_A,Chicago,Clothing,40,370.12,0.02,2023-01-08,14804.8,296.096,14508.704,1,Sunday
10036,Store_A,New York,Furniture,16,370.12,0.02,2023-02-25,5921.92,118.4384,5803.4816,2,Saturday
10037,Store_B,New York,Clothing,34,370.12,0.02,2023-05-11,12584.08,251.6816,12332.3984,5,Thursday
10038,Store_D,Los Angeles,Clothing,7,370.12,0.02,2023-04-02,2590.84,51.8168,2539.0232,4,Sunday
10039,Store_C,New York,Furniture,5,370.12,0.02,2023-02-26,1850.6,37.012,1813.588,2,Sunday
10040,Store_C,Chicago,Furniture,11,370.12,0.02,2023-06-22,4071.32,81.4264,3989.8936000000003,6,Thursday
